subzone_code,subzone_name,planning_area,latitude,longitude,Total_Total,volunteers_count,hdb_ratio,elderly_ratio,low_income_ratio,AED_count,risk_score,risk_score_normalized,normalized_risk_score,population_density_proxy,normalized_density,area_weight,current_aeds,optimized_aeds,current_coverage_effect,optimized_coverage_effect,coverage_improvement
BMSZ16,EVERTON PARK,BUKIT MERAH,1.274949804808943,103.836315892199,7810.0,0,1.0,0.199,0.13,6,60.001633,0.009132472,0.009132472,7810.0,0.059627424034203694,0.059627424034203694,6,5,0.0032672746825469536,0.0027227289021224616,-0.000544545780424492
BMSZ14,TELOK BLANGAH WAY,BUKIT MERAH,1.2773816093970425,103.82047414701732,9230.0,0,1.0,0.199,0.13,1,10.008786,0.0015229393,0.0015229393,9230.0,0.07046877385860437,0.07046877385860437,1,1,0.00010731966513208123,0.00010731966513208123,0.0
DTSZ07,MAXWELL,DOWNTOWN CORE,1.2794151816364674,103.84582665469983,0.0,0,0.8,0.199,0.13,0,0.012155999,1.3280546e-06,1.3280546e-06,0.0,0.0,0.0,0,2,0.0,0.0,0.0
DTSZ08,CECIL,DOWNTOWN CORE,1.278642607628731,103.84886506099345,260.0,0,0.0,0.199,0.13,12,120.003685,0.018265529,0.018265529,260.0,0.001985035883340968,0.001985035883340968,12,1,0.0004350927659184608,3.6257730493205065e-05,-0.0003988350354252557
BMSZ11,KAMPONG TIONG BAHRU,BUKIT MERAH,1.2783572712482043,103.82735076575196,9010.0,0,1.0,0.199,0.13,1,10.008602,0.0015229112,0.0015229112,9010.0,0.06878912811116202,0.06878912811116202,1,1,0.00010475973363872347,0.00010475973363872347,0.0
BMSZ13,TELOK BLANGAH DRIVE,BUKIT MERAH,1.2766547989696886,103.80887984051616,19320.0,0,1.0,0.199,0.13,15,150.01227,0.022833208,0.022833208,19320.0,0.14750343563902885,0.14750343563902885,15,30,0.050519649399908384,0.10103929879981677,0.050519649399908384
QTSZ14,PASIR PANJANG 2,QUEENSTOWN,1.277584987357489,103.79461533416308,3060.0,0,1.0,0.199,0.13,10,100.000496,0.015220795,0.015220795,3060.0,0.0233623453962437,0.0233623453962437,10,4,0.0035559346999541916,0.0014223738799816765,-0.002133560819972515
DTSZ11,CENTRAL SUBZONE,DOWNTOWN CORE,1.2756736590422952,103.85242000082276,880.0,0,0.0,0.199,0.13,8,80.003654,0.012177027,0.012177027,880.0,0.00671858298976943,0.00671858298976943,8,1,0.0006544989317453046,8.181236646816308e-05,-0.0005726865652771415
BMSZ05,SINGAPORE GENERAL HOSPITAL,BUKIT MERAH,1.2797252373429953,103.8346413891822,10.0,0,1.0,0.199,0.13,1,10.005786,0.0015224826,0.0015224826,10.0,7.634753397465261e-05,7.634753397465261e-05,1,2,1.1623779202931744e-07,2.3247558405863487e-07,1.1623779202931744e-07
DTSZ01,BUGIS,DOWNTOWN CORE,1.2991457341314865,103.85603679756154,890.0,0,0.0,0.199,0.13,2,20.000746,0.0030438397,0.0030438397,890.0,0.006794930523744083,0.006794930523744083,2,1,4.136535857382806e-05,2.068267928691403e-05,-2.068267928691403e-05
