subzone_code,subzone_name,planning_area,latitude,longitude,Total_Total,volunteers_count,hdb_ratio,elderly_ratio,low_income_ratio,AED_count,area_sq_km,area_sq_m,population_density
BLSZ04,SHIPYARD,BOON LAY,1.3074878792944504,103.6892756850902,0.0,0,0.8,0.199,0.13,8,2.121183852277038,2121183.852277038,0.0
QTSZ01,GHIM MOH,QUEENSTOWN,1.3109188235584512,103.78748211883848,13850.0,0,1.0,0.199,0.13,25,0.48557240828238835,485572.40828238835,28523.037478574002
KLSZ06,LAVENDER,KALLANG,1.3108256597417522,103.85913971574858,9690.0,0,1.0,0.199,0.13,1,0.7569259237393202,756925.9237393202,12801.781120311009
BDSZ05,FRANKEL,BEDOK,1.314778991316696,103.9204289719861,34490.0,0,1.0,0.199,0.13,46,4.29714071359062,4297140.71359062,8026.267301631071
CLSZ04,CLEMENTI NORTH,CLEMENTI,1.3180493046117048,103.76694488815436,28810.0,0,0.0,0.199,0.13,5,0.9910572611922893,991057.2611922893,29069.96510508403
BTSZ07,LEEDON PARK,BUKIT TIMAH,1.316937047014799,103.7969572361115,6440.0,0,0.396583850931677,0.199,0.13,21,2.038512463526253,2038512.463526253,3159.166360386132
GLSZ05,GEYLANG EAST,GEYLANG,1.316940840983096,103.89835056696543,29920.0,0,1.0,0.199,0.13,26,2.578425365597378,2578425.365597378,11603.981406329378
JESZ09,TEBAN GARDENS,JURONG EAST,1.314860941833374,103.74315558396744,18530.0,0,0.0,0.199,0.13,41,3.187584075141108,3187584.075141108,5813.180001904644
JESZ08,JURONG RIVER,JURONG EAST,1.3194152167012765,103.72879509333752,10.0,0,0.0,0.199,0.13,12,2.560995936210574,2560995.936210574,3.904730912926277
KLSZ02,GEYLANG BAHRU,KALLANG,1.3216390136962597,103.87024965549035,11280.0,0,1.0,0.199,0.13,6,0.735502226411724,735502.226411724,15336.459353809776
NTSZ02,GOODWOOD PARK,NEWTON,1.3135866623216337,103.83429729029189,1260.0,0,0.0,0.199,0.13,1,0.35130522913901163,351305.22913901164,3586.6246656448643
CLSZ09,PANDAN,CLEMENTI,1.3080701000705766,103.75450339533822,20.0,0,0.0,0.199,0.13,7,1.3129227211146308,1312922.7211146308,15.233189035696341
QTSZ09,SINGAPORE POLYTECHNIC,QUEENSTOWN,1.3113487739756944,103.77718152461328,100.0,0,1.0,0.199,0.13,11,0.9474528670718264,947452.8670718264,105.54614743956334
CLSZ06,CLEMENTI CENTRAL,CLEMENTI,1.3120646278053942,103.76308824744082,14000.0,0,0.0,0.199,0.13,4,0.749198897730123,749198.897730123,18686.626531908074
KLSZ07,KAMPONG JAVA,KALLANG,1.3136159595797694,103.85036159442014,10530.0,0,1.0,0.199,0.13,4,1.0520322749306619,1052032.2749306618,10009.198625293144
