subzone_code,subzone_name,planning_area,latitude,longitude,Total_Total,volunteers_count,hdb_ratio,elderly_ratio,low_income_ratio,AED_count
QTSZ01,GHIM MOH,QUEENSTOWN,1.3109188235584512,103.78748211883848,13850.0,0,1.0,0.199,0.13,26
KLSZ06,LAVENDER,KALLANG,1.3108256597417522,103.85913971574858,9690.0,0,1.0,0.199,0.13,1
BDSZ05,FRANKEL,BEDOK,1.314778991316696,103.9204289719861,34490.0,0,1.0,0.199,0.13,25
CLSZ04,CLEMENTI NORTH,CLEMENTI,1.3180493046117048,103.76694488815436,28810.0,0,0.0,0.199,0.13,5
BTSZ07,LEEDON PARK,BUKIT TIMAH,1.316937047014799,103.7969572361115,6440.0,0,0.396583850931677,0.199,0.13,15
GLSZ05,GEYLANG EAST,GEYLANG,1.316940840983096,103.89835056696543,29920.0,0,1.0,0.199,0.13,26
JESZ09,TEBAN GARDENS,JURONG EAST,1.314860941833374,103.74315558396744,18530.0,0,0.0,0.199,0.13,19
JESZ08,JURONG RIVER,JURONG EAST,1.3194152167012765,103.72879509333752,10.0,0,0.0,0.199,0.13,16
KLSZ02,GEYLANG BAHRU,KALLANG,1.3216390136962597,103.87024965549035,11280.0,0,1.0,0.199,0.13,6
NTSZ02,GOODWOOD PARK,NEWTON,1.3135866623216337,103.83429729029189,1260.0,0,0.0,0.199,0.13,3
CLSZ09,PANDAN,CLEMENTI,1.3080701000705766,103.75450339533822,20.0,0,0.0,0.199,0.13,19
QTSZ09,SINGAPORE POLYTECHNIC,QUEENSTOWN,1.3113487739756944,103.77718152461328,100.0,0,1.0,0.199,0.13,17
CLSZ06,CLEMENTI CENTRAL,CLEMENTI,1.3120646278053942,103.76308824744082,14000.0,0,0.0,0.199,0.13,2
KLSZ07,KAMPONG JAVA,KALLANG,1.3136159595797694,103.85036159442014,10530.0,0,1.0,0.199,0.13,2
KLSZ03,BOON KENG,KALLANG,1.31488371038874,103.872300214973,11790.0,0,1.0,0.199,0.13,5
KLSZ08,KALLANG BAHRU,KALLANG,1.314076136899629,103.86547990899592,20.0,0,1.0,0.199,0.13,15
BTSZ04,ULU PANDAN,BUKIT TIMAH,1.3163218966445094,103.7812925144643,11020.0,0,0.2317604355716878,0.199,0.13,15
BTSZ08,FARRER COURT,BUKIT TIMAH,1.3168380421335892,103.8051294388724,6180.0,0,0.4132686084142394,0.199,0.13,10
TNSZ01,NASSIM,TANGLIN,1.3138608468962922,103.82435727962608,9520.0,0,0.0,0.199,0.13,19
CLSZ05,WEST COAST,CLEMENTI,1.3162747028796988,103.75508863410587,6870.0,0,0.0,0.199,0.13,10
BDSZ08,BAYSHORE,BEDOK,1.3138402686397517,103.94865078114977,7450.0,0,1.0,0.199,0.13,416
PNSZ03,BENOI SECTOR,PIONEER,1.3177538702674785,103.686569536492,10.0,0,0.0,0.199,0.13,22
PNSZ02,GUL CIRCLE,PIONEER,1.3153824491404005,103.66882990242571,20.0,0,0.0,0.199,0.13,24
TNSZ04,TYERSALL,TANGLIN,1.3145867440825516,103.81294533814923,3880.0,0,0.0,0.199,0.13,52
NVSZ02,MOULMEIN,NOVENA,1.3176442166714577,103.8428202353417,9300.0,0,0.0,0.199,0.13,24
BLSZ02,LIU FANG,BOON LAY,1.3182527778884787,103.70823223132425,10.0,0,0.0,0.199,0.13,22
ORSZ01,TANGLIN,ORCHARD,1.3048186157648043,103.82579662754884,370.0,0,0.0,0.199,0.13,8
MPSZ03,MARINE PARADE,MARINE PARADE,1.3028146514825378,103.90757425060777,26880.0,0,0.2922247023809524,0.199,0.13,9
PNSZ01,JOO KOON,PIONEER,1.3255957737331936,103.67952177125656,30.0,0,0.0,0.199,0.13,24
