subzone_code,subzone_name,latitude,longitude,Total_Total
BTSZ03,HOLLAND ROAD,1.3270474790794935,103.78377445206739,10840
GLSZ03,KAMPONG UBI,1.3296108811552283,103.8965728774673,11800
TPSZ11,SENNETT,1.3332557182951281,103.87362325663997,7190
TPSZ09,POTONG PASIR,1.3330560428103904,103.86563786027912,11720
TSSZ03,TUAS NORTH,1.3267459179790255,103.65124506111327,30
TPSZ06,PEI CHUN,1.3367899373115206,103.85860695513063,10360
TPSZ04,BOON TECK,1.3352686418652093,103.85302515915542,14660
JWSZ06,KIAN TECK,1.3315119085096334,103.6979039975387,40
JWSZ07,SAFTI,1.3346032252972335,103.68317221386364,-
RCSZ01,FARRER PARK,1.3089809489461592,103.85215075887663,2660
NTSZ03,NEWTON CIRCUS,1.3115847353928238,103.83859519402664,250
JESZ10,JURONG PORT,1.307331791943414,103.71876051471656,-
AMSZ01,ANG MO KIO TOWN CENTRE,1.3727695785265892,103.84681301770922,4810
AMSZ06,KEBUN BAHRU,1.3734668812800181,103.83961008415275,22620
SGSZ02,SERANGOON NORTH IND ESTATE,1.3747844873550168,103.86475852851616,10
THSZ02,TENGAH INDUSTRIAL ESTATE,1.3632626236196261,103.71793155644508,-
BLSZ03,SAMULUN,1.3080601145691344,103.702294698127,10
BLSZ04,SHIPYARD,1.3074878792944504,103.6892756850902,-
QTSZ01,GHIM MOH,1.3109188235584512,103.78748211883848,13850
KLSZ06,LAVENDER,1.3108256597417522,103.85913971574858,9690
BDSZ05,FRANKEL,1.314778991316696,103.9204289719861,34490
CLSZ04,CLEMENTI NORTH,1.3180493046117048,103.76694488815437,28810
BTSZ07,LEEDON PARK,1.316937047014799,103.7969572361115,6440
GLSZ05,GEYLANG EAST,1.316940840983096,103.89835056696543,29920
JESZ09,TEBAN GARDENS,1.314860941833374,103.74315558396744,18530
JESZ08,JURONG RIVER,1.3194152167012765,103.72879509333752,10
KLSZ02,GEYLANG BAHRU,1.3216390136962595,103.87024965549037,11280
NTSZ02,GOODWOOD PARK,1.3135866623216337,103.83429729029187,1260
CLSZ09,PANDAN,1.3080701000705766,103.75450339533822,20
QTSZ09,SINGAPORE POLYTECHNIC,1.3113487739756944,103.77718152461328,100
CLSZ06,CLEMENTI CENTRAL,1.3120646278053942,103.76308824744082,14000
KLSZ07,KAMPONG JAVA,1.3136159595797694,103.85036159442014,10530
KLSZ03,BOON KENG,1.31488371038874,103.872300214973,11790
KLSZ08,KALLANG BAHRU,1.314076136899629,103.86547990899592,20
BTSZ04,ULU PANDAN,1.3163218966445094,103.7812925144643,11020
BTSZ08,FARRER COURT,1.3168380421335892,103.80512943887241,6180
TNSZ01,NASSIM,1.3138608468962922,103.82435727962607,9520
CLSZ05,WEST COAST,1.3162747028796988,103.75508863410589,6870
BDSZ08,BAYSHORE,1.3138402686397515,103.94865078114975,7450
PNSZ03,BENOI SECTOR,1.3177538702674783,103.68656953649199,10
PNSZ02,GUL CIRCLE,1.3153824491404003,103.66882990242571,20
TNSZ04,TYERSALL,1.3145867440825516,103.81294533814925,3880
NVSZ02,MOULMEIN,1.3176442166714577,103.8428202353417,9300
BLSZ02,LIU FANG,1.3182527778884787,103.70823223132423,10
ORSZ01,TANGLIN,1.3048186157648043,103.82579662754885,370
MPSZ03,MARINE PARADE,1.3028146514825378,103.90757425060777,26880
PNSZ01,JOO KOON,1.3255957737331936,103.67952177125657,30
